CJ,2022.05.24.,1040
KT,2022.05.11.,30200
LG유플러스,2022.05.22.,32640
LG,2022.05.23.,3550
넷마블,2021.10.25.,251270
카카오,2022.02.25.,35720
하이브,2022.01.06.,352820
현대차,2022.01.09.,5380
SK,2022.04.13.,34730
넷마블,2022.05.24.,251270
KT,2022.04.04.,30200
LG,2022.05.22.,3550
카카오,2022.04.06.,35720
이노션,2022.04.20.,214320
두산,2021.12.01.,150
신세계,2022.06.02.,4170
카카오페이,2021.11.25.,377300
이월드,2021.11.18.,84680
카카오,2021.10.26.,35720
카카오,2022.03.08.,35720
KT,2022.03.25.,30200
카카오,2021.11.11.,35720
KT,2022.02.10.,30200
넷마블,2021.11.23.,251270
더블유게임즈,2022.03.08.,192080
LG,2021.11.14.,3550
LG유플러스,2022.03.03.,32640
SK,2022.05.26.,34730
크래프톤,2022.02.10.,259960
카카오,2021.12.22.,35720
LG,2022.03.03.,3550
LG,2021.11.10.,3550
KT,2022.05.17.,30200
카카오,2022.01.04.,35720
SK텔레콤,2022.03.27.,17670
LG,2022.05.20.,3550
SK텔레콤,2022.03.25.,17670
KT,2022.05.23.,30200
SK,2021.08.23.,34730
KT,2022.02.28.,30200
한창,2021.12.22.,5110
KT,2022.05.22.,30200
카카오,2022.05.09.,35720
SK텔레콤,2021.09.19.,17670
SK텔레콤,2022.03.28.,17670
카카오,2022.03.18.,35720
LG이노텍,2021.11.11.,11070
카카오,2022.02.02.,35720
넷마블,2022.02.01.,251270
KT,2022.04.25.,30200
SK,2022.06.03.,34730
KT,2022.02.18.,30200
한화,2021.11.11.,880
신세계,2021.08.26.,4170
롯데정보통신,2022.01.05.,286940
카카오,2022.02.17.,35720
넷마블,2021.08.31.,251270
KT,2021.06.14.,30200
삼성전자,2022.01.07.,5930
KT,2022.03.03.,30200
카카오,2022.04.26.,35720
SK텔레콤,2022.02.28.,17670
국보,2022.04.18.,1140
LG유플러스,2021.10.13.,32640
미래산업,2022.01.05.,25560
KT,2021.05.01.,30200
SK텔레콤,2022.04.03.,17670
카카오,2022.05.04.,35720
삼성전자,2021.12.16.,5930
넷마블,2022.06.03.,251270
아센디오,2021.11.09.,12170
LG,2021.10.13.,3550
SK,2021.08.24.,34730
JW중외제약,2022.06.03.,1060
롯데정보통신,2022.01.11.,286940
CJ,2022.05.02.,1040
인바이오젠,2022.03.17.,101140
CJ,2022.03.24.,1040
종근당,2022.04.11.,185750
카카오,2022.03.21.,35720
KT,2022.05.25.,30200
KT,2022.02.27.,30200
넷마블,2021.10.18.,251270
크래프톤,2022.05.15.,259960
카카오,2022.03.29.,35720
카카오,2022.02.14.,35720
SK,2021.04.21.,34730
SK텔레콤,2021.05.01.,17670
KT,2021.07.18.,30200
신세계,2022.04.13.,4170
SK텔레콤,2022.05.20.,17670
크래프톤,2021.11.12.,259960
이월드,2022.03.28.,84680
LG,2021.11.16.,3550
KT,2022.03.01.,30200
카카오,2022.05.03.,35720
인바이오젠,2021.11.19.,101140
KT,2021.12.31.,30200
롯데정보통신,2022.01.10.,286940
하이브,2022.02.08.,352820
LG이노텍,2021.11.14.,11070
카카오,2022.01.18.,35720
카카오,2022.05.25.,35720
SK텔레콤,2022.05.25.,17670
카카오,2022.02.27.,35720
카카오,2021.11.22.,35720
NPC,2022.04.29.,4250
SK텔레콤,2022.02.27.,17670
제일기획,2022.04.21.,30000
LG유플러스,2022.05.18.,32640
카카오,2022.01.02.,35720
KT,2022.02.23.,30200
더블유게임즈,2022.01.14.,192080
LG,2022.05.18.,3550
SK,2022.01.24.,34730
기업은행,2022.05.15.,24110
넷마블,2022.01.28.,251270
SK텔레콤,2022.03.01.,17670
넷마블,2022.01.20.,251270
미래산업,2022.03.22.,25560
KT,2022.03.15.,30200
카카오,2022.01.22.,35720
KT,2021.08.10.,30200
넷마블,2021.11.08.,251270
LG,2021.11.15.,3550
넷마블,2022.03.30.,251270
카카오,2022.01.10.,35720
현대차,2021.12.30.,5380
이월드,2021.11.17.,84680
락앤락,2022.05.24.,115390
LG,2022.04.18.,3550
넷마블,2021.09.06.,251270
삼성전자,2021.08.05.,5930
넷마블,2021.11.09.,251270
LG,2022.03.11.,3550
KT,2022.05.08.,30200
크래프톤,2022.04.28.,259960
KT,2022.02.20.,30200
두산,2022.01.04.,150
SK,2022.02.25.,34730
엔씨소프트,2022.01.26.,36570
SK텔레콤,2022.04.16.,17670
DB,2022.04.14.,12030
카카오,2022.03.15.,35720
카카오,2022.04.14.,35720
SK텔레콤,2022.04.14.,17670
엔씨소프트,2022.05.13.,36570
우성,2021.11.26.,6980
GS,2022.03.02.,78930
SK,2022.03.08.,34730
KT,2022.05.18.,30200
카카오,2021.12.20.,35720
종근당,2022.04.08.,185750
현대차,2021.06.25.,5380
롯데쇼핑,2022.02.23.,23530
하이브,2021.04.06.,352820
삼성전자,2022.03.08.,5930
SK,2022.05.11.,34730
넷마블,2022.02.25.,251270
롯데정보통신,2021.10.28.,286940
디와이,2022.04.05.,13570
KT,2022.04.18.,30200
넷마블,2021.12.13.,251270
롯데정보통신,2022.03.11.,286940
SK,2022.04.04.,34730
LG전자,2021.11.25.,66570
넷마블,2021.10.26.,251270
SK,2022.03.27.,34730
대상,2022.05.26.,1680
KT,2022.03.11.,30200
SBS,2022.02.16.,34120
SK,2022.03.25.,34730
LG,2022.03.21.,3550
SK,2022.02.10.,34730
넷마블,2022.02.24.,251270
GS리테일,2021.12.15.,7070
삼성전기,2021.11.16.,9150
SK,2022.03.28.,34730
SK,2021.09.19.,34730
LG이노텍,2021.11.16.,11070
카카오,2022.05.30.,35720
KT,2022.02.17.,30200
KT,2022.04.27.,30200
부국증권,2021.11.16.,1270
효성,2021.08.25.,4800
이마트,2022.05.11.,139480
카카오,2021.11.01.,35720
크래프톤,2022.01.19.,259960
LG전자,2022.02.08.,66570
SK,2022.01.09.,34730
CJ,2022.03.28.,1040
KT,2022.05.10.,30200
SK텔레콤,2022.05.09.,17670
대웅,2022.06.03.,3090
LG디스플레이,2021.11.16.,34220
넷마블,2022.02.10.,251270
SK,2022.02.28.,34730
하이브,2022.01.07.,352820
크래프톤,2022.03.17.,259960
KT,2021.08.19.,30200
LG,2021.12.07.,3550
현대백화점,2022.02.08.,69960
SK,2022.04.03.,34730
넷마블,2022.02.09.,251270
비케이탑스,2022.01.04.,30790
대신증권,2022.03.18.,3540
KT,2022.02.21.,30200
LG,2021.11.24.,3550
KT,2022.04.21.,30200
SK,2022.04.25.,34730
NHN,2022.03.15.,181710
SK,2022.02.18.,34730
롯데렌탈,2022.05.10.,89860
LG이노텍,2021.11.15.,11070
KT,2022.04.20.,30200
크래프톤,2022.04.21.,259960
KT,2022.03.02.,30200
SK텔레콤,2022.05.10.,17670
대웅제약,2022.06.03.,69620
넷마블,2021.12.15.,251270
SK,2021.06.14.,34730
넷마블,2022.03.23.,251270
SK,2022.03.03.,34730
넷마블,2022.02.28.,251270
LG디스플레이,2021.11.02.,34220
한화,2021.08.30.,880
SK,2021.05.01.,34730
LG,2021.11.18.,3550
SK,2022.05.06.,34730
SK,2022.05.20.,34730
롯데정밀화학,2022.05.18.,4000
LG,2022.03.10.,3550
KT,2022.04.22.,30200
이월드,2021.05.25.,84680
다이나믹디자인,2021.12.12.,145210
LG,2022.02.08.,3550
삼성전자,2022.05.06.,5930
F&F홀딩스,2021.05.24.,7700
SK텔레콤,2022.04.20.,17670
KT,2021.12.28.,30200
SK스퀘어,2022.05.06.,402340
LG,2021.12.05.,3550
대교,2022.04.29.,19680
넷마블,2021.11.10.,251270
SK텔레콤,2022.03.02.,17670
SK,2022.05.25.,34730
SK,2022.05.15.,34730
SK,2022.02.27.,34730
한국토지신탁,2022.02.14.,34830
디와이,2022.01.17.,13570
삼성전자,2022.01.27.,5930
삼성전자,2022.01.18.,5930
삼성전자,2022.05.25.,5930
삼성전자,2022.01.11.,5930
SK,2021.07.18.,34730
카카오,2021.12.16.,35720
코오롱,2022.05.27.,2020
KT,2021.09.08.,30200
SK,2022.03.01.,34730
LG,2022.06.01.,3550
다올투자증권,2022.06.02.,30210
효성,2022.05.30.,4800
넷마블,2022.01.27.,251270
카카오,2021.12.28.,35720
삼성전자,2022.03.01.,5930
한국토지신탁,2022.02.15.,34830
엔씨소프트,2022.01.05.,36570
넷마블,2022.01.18.,251270
KT,2021.11.18.,30200
LG전자,2022.02.10.,66570
넷마블,2021.11.22.,251270
LG,2022.05.16.,3550
비케이탑스,2021.08.09.,30790
LG,2022.03.04.,3550
SK,2022.02.23.,34730
엔케이,2021.11.29.,85310
넷마블,2021.12.09.,251270
LG,2021.11.07.,3550
LG,2021.11.02.,3550
비케이탑스,2021.08.13.,30790
GS,2021.12.19.,78930
삼성전자,2022.02.23.,5930
카카오,2021.12.27.,35720
KB금융,2022.05.26.,105560
KT,2021.12.20.,30200
다이나믹디자인,2021.12.10.,145210
SK텔레콤,2021.04.21.,17670
토니모리,2021.11.01.,214420
SK,2022.04.16.,34730
SK,2022.03.15.,34730
SK,2022.04.14.,34730
현대퓨처넷,2022.05.03.,126560
KT,2021.12.29.,30200
CJ,2022.03.22.,1040
미래산업,2021.11.16.,25560
카카오,2022.01.26.,35720
KT,2022.06.01.,30200
카카오,2022.01.25.,35720
SK,2022.01.13.,34730
더블유게임즈,2022.03.10.,192080
LG이노텍,2021.11.24.,11070
GS,2021.12.15.,78930
카카오,2022.05.19.,35720
하이브,2021.10.26.,352820
SK,2022.05.08.,34730
KT,2021.10.25.,30200
농심,2022.03.17.,4370
SK,2022.02.20.,34730
KT,2022.05.16.,30200
롯데정보통신,2021.11.02.,286940
KT,2022.03.04.,30200
이월드,2022.01.14.,84680
신세계,2022.03.24.,4170
현대차증권,2021.12.30.,1500
CJ,2022.04.06.,1040
SK스퀘어,2022.05.08.,402340
대교,2021.12.13.,19680
유엔젤,2021.12.03.,72130
삼성전자,2022.03.16.,5930
카카오,2022.06.01.,35720
이월드,2021.07.18.,84680
현대차,2021.05.18.,5380
LG이노텍,2021.11.18.,11070
신세계,2021.08.24.,4170
롯데정보통신,2022.02.24.,286940
카카오,2021.10.25.,35720
한화투자증권,2021.12.14.,3530
SK텔레콤,2021.05.02.,17670
넷마블,2021.11.11.,251270
SK텔레콤,2022.05.16.,17670
SK,2022.04.18.,34730
LG이노텍,2021.12.05.,11070
신세계,2021.06.30.,4170
이월드,2021.11.30.,84680
LG,2021.12.15.,3550
카카오,2021.12.21.,35720
카카오,2021.12.30.,35720
대호에이엘,2022.06.02.,69460
SK,2022.05.09.,34730
SK,2022.03.11.,34730
KT,2022.05.26.,30200
카카오,2021.11.23.,35720
삼성전자,2022.05.09.,5930
SK,2021.11.29.,34730
대상,2022.05.17.,1680
SK스퀘어,2022.05.09.,402340
SK,2022.02.17.,34730
SK,2022.04.27.,34730
SK텔레콤,2022.04.13.,17670
카카오,2022.02.24.,35720
현대차,2022.04.25.,5380
SK스퀘어,2021.11.29.,402340
현대건설,2022.05.17.,720
전방,2022.05.08.,950
이월드,2021.11.16.,84680
SK스퀘어,2022.01.09.,402340
KT,2021.08.23.,30200
SK,2022.05.10.,34730
전방,2021.12.03.,950
크래프톤,2022.02.09.,259960
한화,2021.12.14.,880
SK텔레콤,2022.05.26.,17670
키다리스튜디오,2021.12.02.,20120
LG,2021.11.25.,3550
SK,2021.08.19.,34730
삼성전자,2022.03.17.,5930
카카오,2021.05.18.,35720
넷마블,2022.01.19.,251270
다이나믹디자인,2021.12.13.,145210
KT,2022.06.03.,30200
넷마블,2021.10.19.,251270
SK,2022.04.20.,34730
미래산업,2021.09.27.,25560
DB금융투자,2022.04.14.,16610
신풍제약,2021.11.22.,19170
KT,2021.12.10.,30200
NH투자증권,2022.01.20.,5940
효성,2021.12.20.,4800
SK,2022.03.02.,34730
LG,2022.01.20.,3550
LG유플러스,2022.05.19.,32640
한화,2022.02.24.,880
삼성전자,2022.03.02.,5930
카카오,2021.11.03.,35720
삼성전자,2021.08.04.,5930
LG,2022.05.19.,3550
LG,2022.03.30.,3550
롯데정보통신,2021.08.09.,286940
성안,2022.05.18.,11300
하이브,2021.11.22.,352820
롯데정보통신,2022.03.13.,286940
삼성생명,2022.03.14.,32830
KT,2022.05.06.,30200
넷마블,2022.03.29.,251270
크래프톤,2022.04.29.,259960
대상,2021.09.28.,1680
KT,2022.02.04.,30200
현대오토에버,2021.04.20.,307950
넷마블,2022.01.03.,251270
LG이노텍,2021.12.15.,11070
SK,2021.09.08.,34730
한화생명,2022.02.24.,88350
SK텔레콤,2021.08.24.,17670
카카오,2022.05.06.,35720
SK텔레콤,2022.05.06.,17670
한국토지신탁,2021.12.07.,34830
카카오,2021.11.25.,35720
삼성전자,2022.03.20.,5930
KT,2022.03.30.,30200
롯데정보통신,2021.07.26.,286940
카카오,2022.01.27.,35720
KT,2022.01.24.,30200
현대차,2022.04.06.,5380
비케이탑스,2021.08.25.,30790
롯데정보통신,2021.12.24.,286940
LG,2021.11.11.,3550
케이씨,2022.03.23.,29460
KT,2022.02.22.,30200
넷마블,2021.11.18.,251270
녹십자,2022.06.03.,6280
삼성전자,2021.12.29.,5930
카카오,2022.01.24.,35720
KT,2022.02.25.,30200
카카오,2022.02.11.,35720
F&F,2021.05.24.,383220
신세계,2022.03.21.,4170
LG,2022.02.10.,3550
빙그레,2021.07.28.,5180
SK,2021.05.02.,34730
LG,2022.03.28.,3550
SK,2022.05.16.,34730
현대홈쇼핑,2022.03.30.,57050
CJ,2022.06.01.,1040
현대차,2022.04.18.,5380
SK,2022.03.04.,34730
LG유플러스,2022.05.17.,32640
KT,2022.03.08.,30200
GS,2022.03.03.,78930
LG이노텍,2022.01.20.,11070
LG,2022.05.17.,3550
삼성전자,2022.03.04.,5930
비케이탑스,2021.08.10.,30790
LG유플러스,2022.05.23.,32640
롯데정보통신,2022.03.14.,286940
